Date,Open,High,Low,Close,Adj Close,Volume
2015-06-23,27.989500,28.245001,27.011999,27.062500,27.062500,168436000
2015-06-30,27.254499,27.429001,26.976999,27.281000,27.281000,119008000
2015-07-07,27.371500,28.642500,26.992500,28.586500,28.586500,176234000
2015-07-14,28.725000,35.150002,28.708500,34.641998,34.641998,588538000
2015-07-21,34.243999,35.666500,32.577499,32.913502,32.913502,375940000
2015-07-28,33.088001,33.402500,32.584499,33.236000,33.236000,176996000
2015-08-04,33.216999,33.995499,32.943501,33.157001,33.157001,165298000
2015-08-11,34.979000,35.200001,34.025501,34.705502,34.705502,257010000
2015-08-18,34.553501,35.009998,29.654499,30.905500,30.905500,357370000
2015-08-25,32.323502,33.699001,30.583500,32.390999,32.390999,295916000
2015-09-01,31.690500,32.562500,31.253000,31.448000,31.448000,164138000
2015-09-08,32.049999,32.868000,31.645000,32.623501,32.623501,172754000
2015-09-15,32.835499,34.099499,32.667000,33.348999,33.348999,221188000
2015-09-22,32.873501,33.014000,30.892000,31.212500,31.212500,218340000
2015-09-29,31.275000,33.651501,30.901501,33.584000,33.584000,224338000
2015-10-06,33.467499,33.939999,32.724499,33.821499,33.821499,185244000
2015-10-13,33.713001,35.012001,33.655499,34.997501,34.997501,187382000
2015-10-20,34.894501,37.625000,33.535000,36.556000,36.556000,348520000
2015-10-27,36.328499,37.409000,36.207001,37.387001,37.387001,194800000
2015-11-03,37.271500,38.317501,37.057999,37.738499,37.738499,192714000
2015-11-10,37.674000,38.453999,36.716499,37.521000,37.521000,206008000
2015-11-17,37.623501,39.145000,37.202499,38.834999,38.834999,193334000
2015-11-24,38.647999,38.799500,37.905499,38.142502,38.142502,119512000
2015-12-01,38.347000,39.652500,38.122501,38.649502,38.649502,215650000
2015-12-08,38.224998,38.932499,36.813000,38.126999,38.126999,207138000
2015-12-15,38.389500,39.079498,37.707500,38.040001,38.040001,241658000
2015-12-22,38.213501,39.140999,37.882500,39.112000,39.112000,108500000
2015-12-29,39.349499,39.934502,37.376999,37.972000,37.972000,167130000
2016-01-05,38.205002,38.459999,35.978001,36.653500,36.653500,254956000
2016-01-12,37.037498,37.650002,35.075500,35.524502,35.524502,230778000
2016-01-19,36.007500,37.623001,34.389000,36.681000,36.681000,275588000
2016-01-26,36.760502,38.879501,35.672501,38.538502,38.538502,322802000
2016-02-02,40.025002,40.517502,34.100498,35.208000,35.208000,570848000
2016-02-09,34.647499,36.160999,34.424999,35.344501,35.344501,256156000
2016-02-16,35.932499,36.799999,35.508999,36.452499,36.452499,212308000
2016-02-23,36.305000,36.807999,35.101002,35.861000,35.861000,202112000
2016-03-01,36.064999,37.155998,35.257000,35.639999,35.639999,247144000
2016-03-08,35.419498,37.713001,35.200001,37.512001,37.512001,204894000
2016-03-15,37.300999,38.266998,37.141998,38.108002,38.108002,188698000
2016-03-22,37.922001,38.269501,37.525002,37.664001,37.664001,99566000
2016-03-29,37.683998,38.865501,37.414501,38.256001,38.256001,171610000
2016-04-05,37.906502,38.467999,37.779999,37.876999,37.876999,130496000
2016-04-12,37.921501,39.427502,37.578499,39.383999,39.383999,155058000
2016-04-19,39.525002,39.547501,36.518501,37.110500,37.110500,346082000
2016-04-26,37.221001,37.279499,35.160000,35.720501,35.720501,276470000
2016-05-03,35.625000,36.714500,35.202499,36.456501,36.456501,180486000
2016-05-10,36.748001,37.040001,36.000000,36.514999,36.514999,137344000
2016-05-17,36.553001,36.792500,35.515499,35.862499,35.862499,156152000
2016-05-24,35.992500,37.395500,35.982498,37.380001,37.380001,132104000
2016-05-31,37.438000,37.674000,36.414501,36.502998,36.502998,151788000
2016-06-07,36.663502,37.196499,36.491001,36.594002,36.594002,128212000
2016-06-14,36.465500,36.857498,35.056000,35.306499,35.306499,222736000
2016-06-21,35.502499,35.769001,33.632999,34.056999,34.056999,255458000
2016-06-28,34.568501,35.626499,34.242500,35.512501,35.512501,154604000
2016-07-05,35.250500,36.446499,34.950001,36.360001,36.360001,137284000
2016-07-12,36.596001,37.757000,36.375000,37.660000,37.660000,139352000
2016-07-19,37.493500,38.032001,37.424500,37.875999,37.875999,114386000
2016-07-26,37.875999,40.374500,37.637501,40.047001,40.047001,291832000
2016-08-02,39.866501,40.380001,39.651001,40.261501,40.261501,151226000
2016-08-09,40.224499,40.694000,40.181999,40.298000,40.298000,112712000
2016-08-16,40.174999,40.400002,39.716499,39.847500,39.847500,99244000
2016-08-23,40.023998,40.049999,39.361500,39.791000,39.791000,108528000
2016-08-30,39.644001,39.900002,39.316502,39.843498,39.843498,97844000
2016-09-06,39.919498,40.544498,39.174999,39.941002,39.941002,161276000
2016-09-13,39.700500,40.199501,39.216499,39.769501,39.769501,158768000
2016-09-20,40.000000,40.952999,39.801498,40.132500,40.132500,140828000
2016-09-27,40.091499,40.695499,39.811501,40.019001,40.019001,146740000
2016-10-04,40.250000,40.868999,39.841000,40.708500,40.708500,124632000
2016-10-11,40.708500,40.993000,39.931000,40.341999,40.341999,123336000
2016-10-18,40.710499,41.896999,40.666500,41.786999,41.786999,164934000
2016-10-25,41.924999,41.950001,40.400002,40.494999,40.494999,265134000
2016-11-01,40.543499,40.698002,38.549999,40.101501,40.101501,216900000
2016-11-08,40.101501,40.801998,37.179501,37.660999,37.660999,361162000
2016-11-15,38.273499,39.564499,38.261002,39.240002,39.240002,194262000
2016-11-22,39.449501,39.987000,38.632500,39.289501,39.289501,117922000
2016-11-29,39.418999,39.821999,37.667999,38.910999,38.910999,202310000
2016-12-06,39.009499,40.567501,38.666000,40.395000,40.395000,178182000
2016-12-13,40.619499,41.215000,40.224998,40.625000,40.625000,191202000
2016-12-20,40.668499,40.824501,40.255001,40.389999,40.389999,92572000
2016-12-27,40.433998,40.799999,39.480999,39.622501,39.622501,99682000
2017-01-03,40.030998,41.521500,39.844501,41.359001,41.359001,164816000
2017-01-10,41.353500,41.732498,41.050499,41.547001,41.547001,103250000
2017-01-17,41.500000,42.277000,41.160000,42.221500,42.221500,146054000
2017-01-24,42.348999,43.349998,41.051498,41.191502,41.191502,282130000
2017-01-31,40.974998,41.306499,40.602501,41.081001,41.081001,176788000
2017-02-07,41.275002,42.087002,41.164501,41.948002,41.948002,137476000
2017-02-14,41.988499,42.347000,41.791500,42.327499,42.327499,103736000
2017-02-21,42.399502,42.689499,42.125000,42.483501,42.483501,124558000
2017-02-28,42.367500,42.900002,42.058498,42.363499,42.363499,130112000
2017-03-07,42.362999,43.356499,42.276001,43.229000,43.229000,118368000
2017-03-14,43.187500,43.721001,43.006500,43.395500,43.395500,138192000
2017-03-21,43.502998,43.673500,41.215000,41.925499,41.925499,224654000
2017-03-28,41.984501,42.950001,41.613499,42.837502,42.837502,146726000
2017-04-04,42.400002,43.029499,41.865002,42.084999,42.084999,137902000
2017-04-11,42.084999,42.782001,41.730000,42.756500,42.756500,84658000
2017-04-18,42.626999,43.998001,42.562500,43.946499,43.946499,121494000
2017-04-25,44.112999,46.794998,43.964001,46.640999,46.640999,237546000
2017-05-02,46.663502,48.049500,46.549999,47.934502,47.934502,180118000
2017-05-09,48.066502,48.134998,47.430500,47.960999,47.960999,128352000
2017-05-16,48.177502,48.294998,47.002998,48.203499,48.203499,161976000
2017-05-23,48.498001,49.819500,48.224998,49.663502,49.663502,125378000
2017-05-30,49.625000,50.369999,49.064499,50.194000,50.194000,153222000
2017-06-06,50.165501,50.430500,46.840000,48.090500,48.090500,249282000
2017-06-13,48.602001,48.985001,47.018501,48.761002,48.761002,199330000
2017-06-20,48.765499,49.699501,48.410000,48.604500,48.604500,131006000
2017-06-27,48.080002,48.361000,45.765499,45.973000,45.973000,247568000
2017-07-04,46.209999,47.656502,45.931499,47.549999,47.549999,144476000
2017-07-11,47.526001,49.167500,47.256001,48.798000,48.798000,146560000
2017-07-18,48.667999,50.309502,48.602001,49.915501,49.915501,193832000
2017-07-25,48.535000,48.836498,46.853001,47.275002,47.275002,319408000
2017-08-01,47.390499,47.724499,46.625999,47.287498,47.287498,145326000
2017-08-08,47.214500,47.624500,46.061001,46.946499,46.946499,167614000
2017-08-15,47.051498,47.494999,45.930000,46.043499,46.043499,135722000
